Faction,Race,Class,Level,Count
Alliance,Draenei,Hunter,36,5
Alliance,Draenei,Hunter,37,10
Alliance,Draenei,Hunter,38,6
Alliance,Draenei,Hunter,39,8
Alliance,Draenei,Hunter,40,16
Alliance,Draenei,Hunter,41,8
Alliance,Draenei,Hunter,42,9
Alliance,Draenei,Hunter,43,12
Alliance,Draenei,Hunter,44,13
Alliance,Draenei,Hunter,45,9
Alliance,Draenei,Hunter,46,10
Alliance,Draenei,Hunter,47,10
Alliance,Draenei,Hunter,48,9
Alliance,Draenei,Hunter,49,13
Alliance,Draenei,Hunter,50,14
Alliance,Draenei,Hunter,51,8
Alliance,Draenei,Hunter,52,9
Alliance,Draenei,Hunter,53,15
Alliance,Draenei,Hunter,54,7
Alliance,Draenei,Hunter,55,7
Alliance,Draenei,Hunter,56,3
Alliance,Draenei,Hunter,57,5
Alliance,Draenei,Hunter,58,4
Alliance,Draenei,Hunter,59,9
Alliance,Draenei,Hunter,60,12
Alliance,Draenei,Hunter,61,11
Alliance,Draenei,Hunter,62,12
Alliance,Draenei,Hunter,63,17
Alliance,Draenei,Hunter,64,12
Alliance,Draenei,Hunter,65,15
Alliance,Draenei,Hunter,66,13
Alliance,Draenei,Hunter,67,13
Alliance,Draenei,Hunter,68,13
Alliance,Draenei,Hunter,69,15
Alliance,Draenei,Hunter,70,22
Alliance,Draenei,Hunter,71,19
Alliance,Draenei,Hunter,72,13
Alliance,Draenei,Hunter,73,20
Alliance,Draenei,Hunter,74,11
Alliance,Draenei,Hunter,75,23
Alliance,Draenei,Hunter,76,11
Alliance,Draenei,Hunter,77,15
Alliance,Draenei,Hunter,78,26
Alliance,Draenei,Hunter,79,9
Alliance,Draenei,Hunter,80,51
Alliance,Draenei,Hunter,81,42
Alliance,Draenei,Hunter,82,30
Alliance,Draenei,Hunter,83,40
Alliance,Draenei,Hunter,84,32
Alliance,Draenei,Hunter,85,388
Alliance,Draenei,Hunter,86,178
Alliance,Draenei,Hunter,87,153
Alliance,Draenei,Hunter,88,125
Alliance,Draenei,Hunter,89,101
Alliance,Draenei,Hunter,90,1878
Alliance,Draenei,Mage,11,22
Alliance,Draenei,Mage,12,22
Alliance,Draenei,Mage,13,16
Alliance,Draenei,Mage,14,19
Alliance,Draenei,Mage,15,22
Alliance,Draenei,Mage,16,9
Alliance,Draenei,Mage,17,12
Alliance,Draenei,Mage,18,17
Alliance,Draenei,Mage,19,9
Alliance,Draenei,Mage,20,29
Alliance,Draenei,Mage,21,17
Alliance,Draenei,Mage,22,8
Alliance,Draenei,Mage,23,13
Alliance,Draenei,Mage,24,20
Alliance,Draenei,Mage,25,16
Alliance,Draenei,Mage,26,15
Alliance,Draenei,Mage,27,10
Alliance,Draenei,Mage,28,13
Alliance,Draenei,Mage,29,10
Alliance,Draenei,Mage,30,9
Alliance,Draenei,Mage,31,10
Alliance,Draenei,Mage,32,10
Alliance,Draenei,Mage,33,9
Alliance,Draenei,Mage,34,7
Alliance,Draenei,Mage,35,10
Alliance,Draenei,Mage,36,10
Alliance,Draenei,Mage,37,14
Alliance,Draenei,Mage,38,8
Alliance,Draenei,Mage,39,9
Alliance,Draenei,Mage,40,12
Alliance,Draenei,Mage,41,10
Alliance,Draenei,Mage,42,17
Alliance,Draenei,Mage,43,8
Alliance,Draenei,Mage,44,22
Alliance,Draenei,Mage,45,14
Alliance,Draenei,Mage,46,13
Alliance,Draenei,Mage,47,7
Alliance,Draenei,Mage,48,13
Alliance,Draenei,Mage,49,11
Alliance,Draenei,Mage,50,11
Alliance,Draenei,Mage,51,8
Alliance,Draenei,Mage,52,10
Alliance,Draenei,Mage,53,8
Alliance,Draenei,Mage,54,7
Alliance,Draenei,Mage,55,7
Alliance,Draenei,Mage,56,8
Alliance,Draenei,Mage,57,9
Alliance,Draenei,Mage,58,8
Alliance,Draenei,Mage,59,5
Alliance,Draenei,Mage,60,12
Alliance,Draenei,Mage,61,11
Alliance,Draenei,Mage,62,6
Alliance,Draenei,Mage,63,5
Alliance,Draenei,Mage,64,14
Alliance,Draenei,Mage,65,16
Alliance,Draenei,Mage,66,12
Alliance,Draenei,Mage,67,7
Alliance,Draenei,Mage,68,16
Alliance,Draenei,Mage,69,8
Alliance,Draenei,Mage,70,21
Alliance,Draenei,Mage,71,21
Alliance,Draenei,Mage,72,13
Alliance,Draenei,Mage,73,11
Alliance,Draenei,Mage,74,17
Alliance,Draenei,Mage,75,18
Alliance,Draenei,Mage,76,12
Alliance,Draenei,Mage,77,10
Alliance,Draenei,Mage,78,9
Alliance,Draenei,Mage,79,12
Alliance,Draenei,Mage,80,66
Alliance,Draenei,Mage,81,35
Alliance,Draenei,Mage,82,28
Alliance,Draenei,Mage,83,25
Alliance,Draenei,Mage,84,20
Alliance,Draenei,Mage,85,579
Alliance,Draenei,Mage,86,246
Alliance,Draenei,Mage,87,228
Alliance,Draenei,Mage,88,175
Alliance,Draenei,Mage,89,173
Alliance,Draenei,Mage,90,2405
Alliance,Draenei,Monk,11,12
Alliance,Draenei,Monk,12,21
Alliance,Draenei,Monk,13,8
Alliance,Draenei,Monk,14,14
Alliance,Draenei,Monk,15,12
Alliance,Draenei,Monk,16,7
Alliance,Draenei,Monk,17,6
Alliance,Draenei,Monk,18,7
Alliance,Draenei,Monk,19,10
Alliance,Draenei,Monk,20,9
Alliance,Draenei,Monk,21,7
Alliance,Draenei,Monk,22,3
Alliance,Draenei,Monk,23,5
Alliance,Draenei,Monk,24,6
Alliance,Draenei,Monk,25,11
Alliance,Draenei,Monk,26,10
Alliance,Draenei,Monk,27,4
Alliance,Draenei,Monk,28,8
Alliance,Draenei,Monk,29,3
Alliance,Draenei,Monk,30,5
Alliance,Draenei,Monk,31,10
Alliance,Draenei,Monk,32,9
Alliance,Draenei,Monk,33,7
Alliance,Draenei,Monk,34,6
Alliance,Draenei,Monk,35,7
Alliance,Draenei,Monk,36,11
Alliance,Draenei,Monk,37,6
Alliance,Draenei,Monk,38,8
Alliance,Draenei,Monk,39,6
Alliance,Draenei,Monk,40,16
Alliance,Draenei,Monk,41,5
Alliance,Draenei,Monk,42,5
Alliance,Draenei,Monk,43,5
Alliance,Draenei,Monk,44,6
Alliance,Draenei,Monk,45,7
Alliance,Draenei,Monk,46,8
Alliance,Draenei,Monk,47,3
Alliance,Draenei,Monk,48,8
Alliance,Draenei,Monk,49,5
Alliance,Draenei,Monk,50,3
Alliance,Draenei,Monk,51,3
Alliance,Draenei,Monk,52,7
Alliance,Draenei,Monk,53,13
Alliance,Draenei,Monk,54,4
Alliance,Draenei,Monk,55,3
Alliance,Draenei,Monk,56,2
Alliance,Draenei,Monk,57,4
Alliance,Draenei,Monk,58,4
Alliance,Draenei,Monk,59,3
Alliance,Draenei,Monk,60,5
Alliance,Draenei,Monk,61,4
Alliance,Draenei,Monk,62,4
Alliance,Draenei,Monk,63,7
Alliance,Draenei,Monk,64,7
Alliance,Draenei,Monk,65,6
Alliance,Draenei,Monk,66,4
Alliance,Draenei,Monk,67,8
Alliance,Draenei,Monk,68,8
Alliance,Draenei,Monk,69,4
Alliance,Draenei,Monk,70,3
Alliance,Draenei,Monk,71,4
Alliance,Draenei,Monk,72,3
Alliance,Draenei,Monk,73,7
Alliance,Draenei,Monk,74,4
Alliance,Draenei,Monk,75,6
Alliance,Draenei,Monk,76,2
Alliance,Draenei,Monk,77,3
Alliance,Draenei,Monk,78,2
Alliance,Draenei,Monk,79,6
Alliance,Draenei,Monk,80,10
Alliance,Draenei,Monk,81,3
Alliance,Draenei,Monk,82,9
Alliance,Draenei,Monk,83,7
Alliance,Draenei,Monk,84,1
Alliance,Draenei,Monk,85,10
Alliance,Draenei,Monk,86,14
Alliance,Draenei,Monk,87,12
Alliance,Draenei,Monk,88,11
Alliance,Draenei,Monk,89,5
Alliance,Draenei,Monk,90,202
Alliance,Draenei,Paladin,11,67
Alliance,Draenei,Paladin,12,73
Alliance,Draenei,Paladin,13,57
Alliance,Draenei,Paladin,14,46
Alliance,Draenei,Paladin,15,40
Alliance,Draenei,Paladin,16,34
Alliance,Draenei,Paladin,17,35
Alliance,Draenei,Paladin,18,28
Alliance,Draenei,Paladin,19,47
Alliance,Draenei,Paladin,20,122
Alliance,Draenei,Paladin,21,32
Alliance,Draenei,Paladin,22,28
Alliance,Draenei,Paladin,23,27
Alliance,Draenei,Paladin,24,33
Alliance,Draenei,Paladin,25,45
Alliance,Draenei,Paladin,26,37
Alliance,Draenei,Paladin,27,43
Alliance,Draenei,Paladin,28,32
Alliance,Draenei,Paladin,29,37
Alliance,Draenei,Paladin,30,39
Alliance,Draenei,Paladin,31,29
Alliance,Draenei,Paladin,32,30
Alliance,Draenei,Paladin,33,24
Alliance,Draenei,Paladin,34,26
Alliance,Draenei,Paladin,35,29
Alliance,Draenei,Paladin,36,40
Alliance,Draenei,Paladin,37,27
Alliance,Draenei,Paladin,38,19
Alliance,Draenei,Paladin,39,31
Alliance,Draenei,Paladin,40,37
Alliance,Draenei,Paladin,41,31
Alliance,Draenei,Paladin,42,51
Alliance,Draenei,Paladin,43,45
Alliance,Draenei,Paladin,44,30
Alliance,Draenei,Paladin,45,26
Alliance,Draenei,Paladin,46,23
Alliance,Draenei,Paladin,47,21
Alliance,Draenei,Paladin,48,26
Alliance,Draenei,Paladin,49,25
Alliance,Draenei,Paladin,50,32
Alliance,Draenei,Paladin,51,20
Alliance,Draenei,Paladin,52,29
Alliance,Draenei,Paladin,53,22
Alliance,Draenei,Paladin,54,20
Alliance,Draenei,Paladin,55,16
Alliance,Draenei,Paladin,56,21
Alliance,Draenei,Paladin,57,20
Alliance,Draenei,Paladin,58,20
Alliance,Draenei,Paladin,59,12
Alliance,Draenei,Paladin,60,45
Alliance,Draenei,Paladin,61,28
Alliance,Draenei,Paladin,62,26
Alliance,Draenei,Paladin,63,30
Alliance,Draenei,Paladin,64,27
Alliance,Draenei,Paladin,65,26
Alliance,Draenei,Paladin,66,28
Alliance,Draenei,Paladin,67,32
Alliance,Draenei,Paladin,68,24
Alliance,Draenei,Paladin,69,23
Alliance,Draenei,Paladin,70,43
Alliance,Draenei,Paladin,71,32
Alliance,Draenei,Paladin,72,27
Alliance,Draenei,Paladin,73,23
Alliance,Draenei,Paladin,74,27
Alliance,Draenei,Paladin,75,33
Alliance,Draenei,Paladin,76,23
Alliance,Draenei,Paladin,77,29
Alliance,Draenei,Paladin,78,21
Alliance,Draenei,Paladin,79,20
Alliance,Draenei,Paladin,80,98
Alliance,Draenei,Paladin,81,70
Alliance,Draenei,Paladin,82,59
Alliance,Draenei,Paladin,83,66
Alliance,Draenei,Paladin,84,65
Alliance,Draenei,Paladin,85,857
Alliance,Draenei,Paladin,86,375
Alliance,Draenei,Paladin,87,330
Alliance,Draenei,Paladin,88,280
Alliance,Draenei,Paladin,89,226
Alliance,Draenei,Paladin,90,4017
Alliance,Draenei,Priest,11,26
Alliance,Draenei,Priest,12,22
Alliance,Draenei,Priest,13,20
Alliance,Draenei,Priest,14,15
Alliance,Draenei,Priest,15,24
Alliance,Draenei,Priest,16,12
Alliance,Draenei,Priest,17,20
Alliance,Draenei,Priest,18,13
Alliance,Draenei,Priest,19,19
Alliance,Draenei,Priest,20,26
Alliance,Draenei,Priest,21,19
Alliance,Draenei,Priest,22,23
Alliance,Draenei,Priest,23,12
Alliance,Draenei,Priest,24,18
Alliance,Draenei,Priest,25,18
Alliance,Draenei,Priest,26,15
Alliance,Draenei,Priest,27,20
Alliance,Draenei,Priest,28,15
Alliance,Draenei,Priest,29,23
Alliance,Draenei,Priest,30,16
Alliance,Draenei,Priest,31,15
Alliance,Draenei,Priest,32,10
Alliance,Draenei,Priest,33,11
Alliance,Draenei,Priest,34,12
Alliance,Draenei,Priest,35,16
Alliance,Draenei,Priest,36,9
Alliance,Draenei,Priest,37,11
Alliance,Draenei,Priest,38,19
Alliance,Draenei,Priest,39,12
Alliance,Draenei,Priest,40,23
Alliance,Draenei,Priest,41,18
Alliance,Draenei,Priest,42,15
Alliance,Draenei,Priest,43,13
Alliance,Draenei,Priest,44,14
Alliance,Draenei,Priest,45,23
Alliance,Draenei,Priest,46,18
Alliance,Draenei,Priest,47,14
Alliance,Draenei,Priest,48,11
Alliance,Draenei,Priest,49,11
Alliance,Draenei,Priest,50,6
Alliance,Draenei,Priest,51,11
Alliance,Draenei,Priest,52,13
Alliance,Draenei,Priest,53,25
Alliance,Draenei,Priest,54,11
Alliance,Draenei,Priest,55,11
Alliance,Draenei,Priest,56,9
Alliance,Draenei,Priest,57,9
Alliance,Draenei,Priest,58,10
Alliance,Draenei,Priest,59,6
Alliance,Draenei,Priest,60,18
Alliance,Draenei,Priest,61,10
Alliance,Draenei,Priest,62,9
Alliance,Draenei,Priest,63,15
Alliance,Draenei,Priest,64,12
Alliance,Draenei,Priest,65,10
Alliance,Draenei,Priest,66,13
Alliance,Draenei,Priest,67,22
Alliance,Draenei,Priest,68,21
Alliance,Draenei,Priest,69,20
Alliance,Draenei,Priest,70,24
Alliance,Draenei,Priest,71,13
Alliance,Draenei,Priest,72,15
Alliance,Draenei,Priest,73,12
Alliance,Draenei,Priest,74,18
Alliance,Draenei,Priest,75,15
Alliance,Draenei,Priest,76,14
Alliance,Draenei,Priest,77,15
Alliance,Draenei,Priest,78,14
Alliance,Draenei,Priest,79,16
Alliance,Draenei,Priest,80,59
Alliance,Draenei,Priest,81,29
Alliance,Draenei,Priest,82,30
Alliance,Draenei,Priest,83,34
Alliance,Draenei,Priest,84,45
Alliance,Draenei,Priest,85,431
Alliance,Draenei,Priest,86,212
Alliance,Draenei,Priest,87,230
Alliance,Draenei,Priest,88,161
Alliance,Draenei,Priest,89,148
Alliance,Draenei,Priest,90,2675
Alliance,Draenei,Shaman,11,51
Alliance,Draenei,Shaman,12,41
Alliance,Draenei,Shaman,13,47
Alliance,Draenei,Shaman,14,50
Alliance,Draenei,Shaman,15,39
Alliance,Draenei,Shaman,16,32
Alliance,Draenei,Shaman,17,39
Alliance,Draenei,Shaman,18,41
Alliance,Draenei,Shaman,19,34
Alliance,Draenei,Shaman,20,79
Alliance,Draenei,Shaman,21,42
Alliance,Draenei,Shaman,22,35
Alliance,Draenei,Shaman,23,42
Alliance,Draenei,Shaman,24,45
Alliance,Draenei,Shaman,25,46
Alliance,Draenei,Shaman,26,38
Alliance,Draenei,Shaman,27,36
Alliance,Draenei,Shaman,28,40
Alliance,Draenei,Shaman,29,34
Alliance,Draenei,Shaman,30,44
Alliance,Draenei,Shaman,31,41
Alliance,Draenei,Shaman,32,29
Alliance,Draenei,Shaman,33,24
Alliance,Draenei,Shaman,34,28
Alliance,Draenei,Shaman,35,31
Alliance,Draenei,Shaman,36,28
Alliance,Draenei,Shaman,37,32
Alliance,Draenei,Shaman,38,21
Alliance,Draenei,Shaman,39,29
Alliance,Draenei,Shaman,40,36
Alliance,Draenei,Shaman,41,38
Alliance,Draenei,Shaman,42,32
Alliance,Draenei,Shaman,43,51
Alliance,Draenei,Shaman,44,43
Alliance,Draenei,Shaman,45,35
Alliance,Draenei,Shaman,46,29
Alliance,Draenei,Shaman,47,30
Alliance,Draenei,Shaman,48,31
Alliance,Draenei,Shaman,49,29
Alliance,Draenei,Shaman,50,47
Alliance,Draenei,Shaman,51,34
Alliance,Draenei,Shaman,52,26
Alliance,Draenei,Shaman,53,35
Alliance,Draenei,Shaman,54,17
Alliance,Draenei,Shaman,55,31
Alliance,Draenei,Shaman,56,28
Alliance,Draenei,Shaman,57,24
Alliance,Draenei,Shaman,58,22
Alliance,Draenei,Shaman,59,14
Alliance,Draenei,Shaman,60,40
Alliance,Draenei,Shaman,61,27
Alliance,Draenei,Shaman,62,33
Alliance,Draenei,Shaman,63,30
Alliance,Draenei,Shaman,64,41
Alliance,Draenei,Shaman,65,38
Alliance,Draenei,Shaman,66,37
Alliance,Draenei,Shaman,67,31
Alliance,Draenei,Shaman,68,40
Alliance,Draenei,Shaman,69,27
Alliance,Draenei,Shaman,70,58
Alliance,Draenei,Shaman,71,49
Alliance,Draenei,Shaman,72,51
Alliance,Draenei,Shaman,73,34
Alliance,Draenei,Shaman,74,34
Alliance,Draenei,Shaman,75,46
Alliance,Draenei,Shaman,76,38
Alliance,Draenei,Shaman,77,31
Alliance,Draenei,Shaman,78,30
Alliance,Draenei,Shaman,79,40
Alliance,Draenei,Shaman,80,173
Alliance,Draenei,Shaman,81,99
Alliance,Draenei,Shaman,82,98
Alliance,Draenei,Shaman,83,116
Alliance,Draenei,Shaman,84,104
Alliance,Draenei,Shaman,85,1773
Alliance,Draenei,Shaman,86,823
Alliance,Draenei,Shaman,87,741
Alliance,Draenei,Shaman,88,620
Alliance,Draenei,Shaman,89,534
Alliance,Draenei,Shaman,90,10877
Alliance,Draenei,Warrior,11,26
Alliance,Draenei,Warrior,12,17
Alliance,Draenei,Warrior,13,19
Alliance,Draenei,Warrior,14,15
Alliance,Draenei,Warrior,15,13
Alliance,Draenei,Warrior,16,11
Alliance,Draenei,Warrior,17,14
Alliance,Draenei,Warrior,18,13
Alliance,Draenei,Warrior,19,10
Alliance,Draenei,Warrior,20,34
Alliance,Draenei,Warrior,21,10
Alliance,Draenei,Warrior,22,13
Alliance,Draenei,Warrior,23,8
Alliance,Draenei,Warrior,24,10
Alliance,Draenei,Warrior,25,11
Alliance,Draenei,Warrior,26,13
Alliance,Draenei,Warrior,27,9
Alliance,Draenei,Warrior,28,8
Alliance,Draenei,Warrior,29,8
Alliance,Draenei,Warrior,30,13
Alliance,Draenei,Warrior,31,9
Alliance,Draenei,Warrior,32,6
Alliance,Draenei,Warrior,33,9
Alliance,Draenei,Warrior,34,8
Alliance,Draenei,Warrior,35,5
Alliance,Draenei,Warrior,36,10
Alliance,Draenei,Warrior,37,10
Alliance,Draenei,Warrior,38,8
Alliance,Draenei,Warrior,39,2
Alliance,Draenei,Warrior,40,11
Alliance,Draenei,Warrior,41,9
Alliance,Draenei,Warrior,42,7
Alliance,Draenei,Warrior,43,9
Alliance,Draenei,Warrior,44,12
Alliance,Draenei,Warrior,45,9
Alliance,Draenei,Warrior,46,6
Alliance,Draenei,Warrior,47,6
Alliance,Draenei,Warrior,48,7
Alliance,Draenei,Warrior,49,10
Alliance,Draenei,Warrior,50,9
Alliance,Draenei,Warrior,51,5
Alliance,Draenei,Warrior,52,8
Alliance,Draenei,Warrior,53,8
Alliance,Draenei,Warrior,54,9
Alliance,Draenei,Warrior,55,9
Alliance,Draenei,Warrior,56,7
Alliance,Draenei,Warrior,57,3
Alliance,Draenei,Warrior,58,4
Alliance,Draenei,Warrior,59,4
Alliance,Draenei,Warrior,60,13
Alliance,Draenei,Warrior,61,12
Alliance,Draenei,Warrior,62,7
Alliance,Draenei,Warrior,63,5
Alliance,Draenei,Warrior,64,15
Alliance,Draenei,Warrior,65,4
Alliance,Draenei,Warrior,66,8
Alliance,Draenei,Warrior,67,17
Alliance,Draenei,Warrior,68,6
Alliance,Draenei,Warrior,69,6
Alliance,Draenei,Warrior,70,17
Alliance,Draenei,Warrior,71,13
Alliance,Draenei,Warrior,72,8
Alliance,Draenei,Warrior,73,7
Alliance,Draenei,Warrior,74,6
Alliance,Draenei,Warrior,75,5
Alliance,Draenei,Warrior,76,10
Alliance,Draenei,Warrior,77,8
Alliance,Draenei,Warrior,78,9
Alliance,Draenei,Warrior,79,10
Alliance,Draenei,Warrior,80,39
Alliance,Draenei,Warrior,81,13
Alliance,Draenei,Warrior,82,24
Alliance,Draenei,Warrior,83,18
Alliance,Draenei,Warrior,84,15
Alliance,Draenei,Warrior,85,207
Alliance,Draenei,Warrior,86,77
Alliance,Draenei,Warrior,87,89
Alliance,Draenei,Warrior,88,79
Alliance,Draenei,Warrior,89,47
Alliance,Draenei,Warrior,90,1105
Alliance,Dwarf,Death Knight,55,30
Alliance,Dwarf,Death Knight,56,21
Alliance,Dwarf,Death Knight,57,20
Alliance,Dwarf,Death Knight,58,53
Alliance,Dwarf,Death Knight,59,17
Alliance,Dwarf,Death Knight,60,27
Alliance,Dwarf,Death Knight,61,19
Alliance,Dwarf,Death Knight,62,16
Alliance,Dwarf,Death Knight,63,18
Alliance,Dwarf,Death Knight,64,14
Alliance,Dwarf,Death Knight,65,10
Alliance,Dwarf,Death Knight,66,12
Alliance,Dwarf,Death Knight,67,15
Alliance,Dwarf,Death Knight,68,7
Alliance,Dwarf,Death Knight,69,4
Alliance,Dwarf,Death Knight,70,12
Alliance,Dwarf,Death Knight,71,12
Alliance,Dwarf,Death Knight,72,11
Alliance,Dwarf,Death Knight,73,12
Alliance,Dwarf,Death Knight,74,7
Alliance,Dwarf,Death Knight,75,11
Alliance,Dwarf,Death Knight,76,11
Alliance,Dwarf,Death Knight,77,5
Alliance,Dwarf,Death Knight,78,8
Alliance,Dwarf,Death Knight,79,6
Alliance,Dwarf,Death Knight,80,25
Alliance,Dwarf,Death Knight,81,12
Alliance,Dwarf,Death Knight,82,16
Alliance,Dwarf,Death Knight,83,15
Alliance,Dwarf,Death Knight,84,8
Alliance,Dwarf,Death Knight,85,195
Alliance,Dwarf,Death Knight,86,96
Alliance,Dwarf,Death Knight,87,99
Alliance,Dwarf,Death Knight,88,71
Alliance,Dwarf,Death Knight,89,61
Alliance,Dwarf,Death Knight,90,832
Alliance,Dwarf,Hunter,11,44
Alliance,Dwarf,Hunter,12,42
Alliance,Dwarf,Hunter,13,41
Alliance,Dwarf,Hunter,14,35
Alliance,Dwarf,Hunter,15,37
Alliance,Dwarf,Hunter,16,25
Alliance,Dwarf,Hunter,17,36
Alliance,Dwarf,Hunter,18,29
Alliance,Dwarf,Hunter,19,32
Alliance,Dwarf,Hunter,20,74
Alliance,Dwarf,Hunter,21,25
Alliance,Dwarf,Hunter,22,25
Alliance,Dwarf,Hunter,23,20
Alliance,Dwarf,Hunter,24,20
Alliance,Dwarf,Hunter,25,23
Alliance,Dwarf,Hunter,26,22
Alliance,Dwarf,Hunter,27,26
Alliance,Dwarf,Hunter,28,28
Alliance,Dwarf,Hunter,29,26
Alliance,Dwarf,Hunter,30,26
Alliance,Dwarf,Hunter,31,27
Alliance,Dwarf,Hunter,32,16
Alliance,Dwarf,Hunter,33,18
Alliance,Dwarf,Hunter,34,18
Alliance,Dwarf,Hunter,35,28
Alliance,Dwarf,Hunter,36,16
Alliance,Dwarf,Hunter,37,21
Alliance,Dwarf,Hunter,38,8
Alliance,Dwarf,Hunter,39,15
Alliance,Dwarf,Hunter,40,21
Alliance,Dwarf,Hunter,41,21
Alliance,Dwarf,Hunter,42,21
Alliance,Dwarf,Hunter,43,21
Alliance,Dwarf,Hunter,44,22
Alliance,Dwarf,Hunter,45,15
Alliance,Dwarf,Hunter,46,18
Alliance,Dwarf,Hunter,47,8
Alliance,Dwarf,Hunter,48,19
Alliance,Dwarf,Hunter,49,16
Alliance,Dwarf,Hunter,50,21
Alliance,Dwarf,Hunter,51,15
Alliance,Dwarf,Hunter,52,12
Alliance,Dwarf,Hunter,53,24
Alliance,Dwarf,Hunter,54,11
Alliance,Dwarf,Hunter,55,18
Alliance,Dwarf,Hunter,56,12
Alliance,Dwarf,Hunter,57,9
Alliance,Dwarf,Hunter,58,12
Alliance,Dwarf,Hunter,59,7
Alliance,Dwarf,Hunter,60,25
Alliance,Dwarf,Hunter,61,18
Alliance,Dwarf,Hunter,62,16
Alliance,Dwarf,Hunter,63,24
Alliance,Dwarf,Hunter,64,30
Alliance,Dwarf,Hunter,65,31
Alliance,Dwarf,Hunter,66,22
Alliance,Dwarf,Hunter,67,22
Alliance,Dwarf,Hunter,68,18
Alliance,Dwarf,Hunter,69,18
Alliance,Dwarf,Hunter,70,34
Alliance,Dwarf,Hunter,71,20
Alliance,Dwarf,Hunter,72,13
Alliance,Dwarf,Hunter,73,27
Alliance,Dwarf,Hunter,74,22
Alliance,Dwarf,Hunter,75,17
Alliance,Dwarf,Hunter,76,17
Alliance,Dwarf,Hunter,77,26
Alliance,Dwarf,Hunter,78,19
Alliance,Dwarf,Hunter,79,19
Alliance,Dwarf,Hunter,80,85
Alliance,Dwarf,Hunter,81,43
Alliance,Dwarf,Hunter,82,56
Alliance,Dwarf,Hunter,83,44
Alliance,Dwarf,Hunter,84,47
Alliance,Dwarf,Hunter,85,559
Alliance,Dwarf,Hunter,86,290
Alliance,Dwarf,Hunter,87,263
Alliance,Dwarf,Hunter,88,201
Alliance,Dwarf,Hunter,89,172
Alliance,Dwarf,Hunter,90,3004
Alliance,Dwarf,Mage,11,4
Alliance,Dwarf,Mage,12,4
Alliance,Dwarf,Mage,13,4
Alliance,Dwarf,Mage,14,8
Alliance,Dwarf,Mage,15,4
Alliance,Dwarf,Mage,16,8
Alliance,Dwarf,Mage,17,6
Alliance,Dwarf,Mage,18,5
Alliance,Dwarf,Mage,19,2
Alliance,Dwarf,Mage,20,13
Alliance,Dwarf,Mage,21,4
Alliance,Dwarf,Mage,22,5
Alliance,Dwarf,Mage,23,5
Alliance,Dwarf,Mage,24,1
Alliance,Dwarf,Mage,25,3
Alliance,Dwarf,Mage,26,1
Alliance,Dwarf,Mage,27,2
Alliance,Dwarf,Mage,28,4
Alliance,Dwarf,Mage,29,1
Alliance,Dwarf,Mage,30,4
Alliance,Dwarf,Mage,31,3
Alliance,Dwarf,Mage,32,2
Alliance,Dwarf,Mage,33,2
Alliance,Dwarf,Mage,34,3
Alliance,Dwarf,Mage,35,2
